healthAuthority_ID,partition,c_count,component_size,component_edges,budget,original_objective,num_simplicials,m_status_agg,m_obj_agg,m_MIPGap_agg,m_runtime_agg,m_status_disagg,m_obj_disagg,m_MIPGap_disagg,m_runtime_disagg,density,perc_reduction_obj_agg,perc_reduction_obj_disagg
0,21,0,2448,6883,489,20650.0,659,2,3956.0,0.0,10.82800006866455,2,3956.0,0.0,13.73799991607666,0.22980653915291768,80.84261501210653,80.84261501210653
0,22,0,2406,11419,481,108255.0,179,9,24048.0,31.69078509647371,3600.173000097275,9,22835.0,29.5511276549157,3601.6259999275208,0.39468204056732736,77.78578356657891,78.90628608378366
0,23,0,2451,7552,490,35511.0,515,9,6186.0,4.5101842870999,3600.2890000343323,9,6199.0,4.64591063074689,3600.2490000724792,0.25152582452809763,82.58004561966715,82.54343724479739
0,24,0,2567,13660,513,148323.0,241,9,29785.0,48.43041799563539,3600.24599981308,9,21259.0,30.21308622230584,3600.161999940872,0.4147612496398166,79.91882580584266,85.66709141535702
0,25,0,2413,6387,482,30482.0,647,9,4433.0,4.21836228287841,3600.1409997940063,9,4435.0,4.44193912063134,3600.213999986649,0.2194786531495032,85.4569910110885,85.45042976182665
0,26,0,2564,14649,512,187054.0,201,9,14744.0,6.12452523060227,3600.239000082016,9,63353.0,100.0,3606.066999912262,0.44583211342499746,92.11778416927731,66.13117067798603
0,27,0,2549,8877,509,51839.0,387,9,8559.0,4.10094637223974,3600.286999940872,9,8572.0,4.33971068595427,3600.375,0.2733549586657248,83.48926483921372,83.46418719496904
0,28,0,2563,13976,512,201797.0,285,9,13767.0,21.53700878913343,3600.1770000457764,9,12701.0,16.00661365246831,3600.2400000095367,0.42568187224487797,93.17779748955634,93.70605113059163
0,29,0,2565,13460,513,110107.0,199,9,24163.0,34.54869014609113,3600.1979999542236,9,21816.0,27.507334066740007,3600.1849999427795,0.40932631457305074,78.05498288028917,80.18654581452587
0,30,0,2447,10281,489,70249.0,201,9,13406.0,19.87169923914665,3600.2470002174377,9,12255.0,11.334149326805381,3600.2419998645782,0.3435381184964251,80.91645432675199,82.5549118136913
0,31,0,2562,13558,512,150385.0,205,9,25168.0,43.57120152574698,3600.194000005722,9,18830.0,24.98672331386086,3600.1770000457764,0.413272893925303,83.26428832662832,87.47880440203478
0,32,0,2456,7959,491,43211.0,541,9,6310.0,3.85103011093502,3600.1849999427795,9,6302.0,3.9669946048873297,3600.302999973297,0.2640028659187857,85.39723681469997,85.41575061905533
0,33,0,2430,9508,486,57202.0,499,9,7112.0,8.30989876265466,3600.257999897003,9,7247.0,9.81095625776183,3600.2829999923706,0.3221702100984842,87.56686829131849,87.33086255725324
0,34,0,2553,10517,510,100889.0,290,9,10673.0,8.21699615853087,3600.1930000782013,9,10703.0,8.16593478463982,3600.207999944687,0.32284226437149977,89.42104689312016,89.39131124304929
0,35,0,2545,14014,509,133363.0,163,9,21583.0,22.47138951952925,3600.1420001983643,9,21177.0,21.31557822165557,3600.1429998874664,0.4328996305494804,83.81635086193322,84.12078312575451
0,36,0,2449,6775,489,30527.0,636,2,4349.0,0.0,975.569000005722,2,4349.0,0.0,1524.6170001029968,0.22601595422434662,85.7535951780391,85.7535951780391
