healthAuthority_ID,partition,c_count,component_size,component_edges,budget,heuristic_K,gurobi_K,pre_optimization_short_pairs,pre_gurobi_short_pairs,post_gurobi_short_pairs,c_pairwise_connectivity,c_new_pairwise_connectivity,heuristic_approach,heuristic_time,gurobi_time,total_time,num_simplicials,m_status,m_obj,m_MIPGap,m_sol_count,m_runtime
0,10,0,2564,12093,512,0,512,87913.0,87913.0,20275.0,1.0,0.9738605140078106,HDA,0,3612.552973270416,3612.552973270416,188,9,20665.334443752163,0.3837300211487943,8,3600.0530960559845
0,11,0,2378,6576,475,0,475,30925.0,30925.0,5096.0,1.0,0.317866581793206,HDA,0,3604.173191785813,3604.173191785813,587,9,5318.166931250713,0.0660901280015784,10,3600.0286440849304
0,11,1,54,102,10,0,10,398.0,398.0,95.0,1.0,0.4915433403805497,HDA,0,0.0992517471313476,0.0992517471313476,13,2,98.23011249999996,0.0,4,0.0573248863220214
0,12,0,2567,11882,513,0,513,112073.0,112073.0,25026.0,1.0,0.9566962352574024,HDA,0,3614.921939373016,3614.921939373016,208,9,25460.188525002664,0.443975341973227,5,3600.059425830841
0,13,0,2550,16476,510,0,510,232588.0,232588.0,24910.0,1.0,0.937373664522209,HDA,0,3631.873326063156,3631.873326063156,273,9,25706.925362506307,0.5034691289809035,3,3600.125009059906
0,14,0,2529,10110,505,0,505,69776.0,69776.0,17449.0,1.0,0.9187710889982592,HDA,0,3606.568995475769,3606.568995475769,324,9,17771.007137501896,0.4362794980037721,5,3600.070422887802
0,15,0,2438,6344,487,0,487,22369.0,22369.0,3939.0,1.0,0.0078870796041477,HDA,0,945.0429680347444,945.0429680347444,657,2,4132.322967788847,0.0,10,941.7500398159028
0,16,0,2456,15137,491,0,491,64179.0,64179.0,6371.0,1.0,0.2166658893155682,HDA,0,3611.0338077545166,3611.0338077545166,591,9,7003.793518751693,0.1814871791344449,6,3600.049961805344
0,17,0,2447,11981,489,0,489,42152.0,42152.0,3103.0,1.0,0.0033467247558983,HDA,0,412.70543384552,412.70543384552,800,2,3605.55655625005,0.0,10,407.096225976944
0,18,0,2457,74868,491,0,491,302252.0,302252.0,2272.0,1.0,0.0024192441997416,HDA,0,282.6794095039368,282.6794095039368,1072,2,5779.213493754844,1.631537653329417e-11,10,177.6137819290161
0,19,0,2443,5781,488,0,488,17554.0,17554.0,3081.0,1.0,0.003276903302819,HDA,0,155.12125444412231,155.12125444412231,806,2,3261.912613921977,8.73162329995205e-05,10,152.2423861026764
0,20,0,2453,6415,490,0,490,19244.0,19244.0,3672.0,1.0,0.0049846731297609,HDA,0,292.1450207233429,292.1450207233429,700,2,3859.626837364721,9.062270968591363e-05,10,290.45217990875244
0,21,0,2448,6883,489,0,489,20650.0,20650.0,3959.0,1.0,0.0074525734659602,HDA,0,36.145859718322754,36.145859718322754,647,2,4159.686606250196,9.670813188424523e-05,10,33.012787103652954
0,22,0,2406,11419,481,0,481,108255.0,108255.0,25813.0,1.0,0.922967842967843,HDA,0,3613.168538570404,3613.168538570404,168,9,26229.66941250269,0.4050621794011722,4,3600.0593008995056
0,23,0,2451,7552,490,0,490,35511.0,35511.0,6842.0,1.0,0.3497346210284215,HDA,0,3604.5447261333466,3604.5447261333466,505,9,7076.0482812507935,0.1278756383909257,8,3600.0234508514404
0,24,0,2567,13660,513,0,513,148323.0,148323.0,26397.0,1.0,0.967165631694848,HDA,0,3618.866355180741,3618.866355180741,235,9,26932.23868750353,0.4621088207137361,3,3600.075875043869
0,25,0,2413,6387,482,0,482,30482.0,30482.0,4598.0,1.0,0.0651422254301913,HDA,0,3604.111430168152,3604.111430168152,643,9,4803.15431875067,0.0670515671082364,10,3600.0524020195007
